identifier_name,filepath,line_number,start_index,end_index
os,basic_examples/extra_stuff.py,2,7,9
os,basic_examples/extra_stuff.py,6,3,5
name,basic_examples/extra_stuff.py,6,6,10
say_hello,basic_examples/extra_stuff.py,8,4,13
say_hello,basic_examples/extra_stuff.py,9,6,15
Employee,basic_examples/extra_stuff.py,12,6,14
__str__,basic_examples/extra_stuff.py,14,6,13
self,basic_examples/extra_stuff.py,14,14,18
self,basic_examples/extra_stuff.py,15,11,15
name,basic_examples/extra_stuff.py,15,16,20
str,basic_examples/extra_stuff.py,15,29,32
self,basic_examples/extra_stuff.py,15,33,37
salary,basic_examples/extra_stuff.py,15,38,44
__init__,basic_examples/extra_stuff.py,17,6,14
self,basic_examples/extra_stuff.py,17,15,19
name,basic_examples/extra_stuff.py,17,21,25
salary,basic_examples/extra_stuff.py,17,27,33
self,basic_examples/extra_stuff.py,18,4,8
name,basic_examples/extra_stuff.py,18,9,13
name,basic_examples/extra_stuff.py,18,16,20
self,basic_examples/extra_stuff.py,19,4,8
salary,basic_examples/extra_stuff.py,19,9,15
salary,basic_examples/extra_stuff.py,19,18,24
employees,basic_examples/extra_stuff.py,22,0,9
employees,basic_examples/extra_stuff.py,23,0,9
append,basic_examples/extra_stuff.py,23,10,16
Employee,basic_examples/extra_stuff.py,23,17,25
employees,basic_examples/extra_stuff.py,24,0,9
append,basic_examples/extra_stuff.py,24,10,16
Employee,basic_examples/extra_stuff.py,24,17,25
employees,basic_examples/extra_stuff.py,25,0,9
append,basic_examples/extra_stuff.py,25,10,16
Employee,basic_examples/extra_stuff.py,25,17,25
sal_more_than_40k,basic_examples/extra_stuff.py,29,0,17
e,basic_examples/extra_stuff.py,29,21,22
e,basic_examples/extra_stuff.py,29,27,28
employees,basic_examples/extra_stuff.py,29,32,41
e,basic_examples/extra_stuff.py,29,45,46
salary,basic_examples/extra_stuff.py,29,47,53
str,basic_examples/extra_stuff.py,30,19,22
len,basic_examples/extra_stuff.py,30,23,26
sal_more_than_40k,basic_examples/extra_stuff.py,30,27,44
emp,basic_examples/extra_stuff.py,31,4,7
sal_more_than_40k,basic_examples/extra_stuff.py,31,11,28
