identifier_name,filepath,line_number,start_index,end_index,violation_list
os,basic_examples/extra_stuff.py,2,7,9,Number of Words;Short Identifier Name
os,basic_examples/extra_stuff.py,6,3,5,Number of Words;Short Identifier Name
name,basic_examples/extra_stuff.py,6,6,10,Number of Words;Short Identifier Name
say_hello,basic_examples/extra_stuff.py,8,4,13,Number of Words
say_hello,basic_examples/extra_stuff.py,9,6,15,Number of Words
Employee,basic_examples/extra_stuff.py,12,6,14,Capitalisation Anomaly
__str__,basic_examples/extra_stuff.py,14,6,13,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/extra_stuff.py,14,14,18,Number of Words;Short Identifier Name
self,basic_examples/extra_stuff.py,15,11,15,Number of Words;Short Identifier Name
name,basic_examples/extra_stuff.py,15,16,20,Number of Words;Short Identifier Name
str,basic_examples/extra_stuff.py,15,29,32,Number of Words;Short Identifier Name
self,basic_examples/extra_stuff.py,15,33,37,Number of Words;Short Identifier Name
salary,basic_examples/extra_stuff.py,15,38,44,Number of Words;Short Identifier Name
__init__,basic_examples/extra_stuff.py,17,6,14,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/extra_stuff.py,17,15,19,Number of Words;Short Identifier Name
name,basic_examples/extra_stuff.py,17,21,25,Number of Words;Short Identifier Name
salary,basic_examples/extra_stuff.py,17,27,33,Number of Words;Short Identifier Name
self,basic_examples/extra_stuff.py,18,4,8,Number of Words;Short Identifier Name
name,basic_examples/extra_stuff.py,18,9,13,Number of Words;Short Identifier Name
name,basic_examples/extra_stuff.py,18,16,20,Number of Words;Short Identifier Name
self,basic_examples/extra_stuff.py,19,4,8,Number of Words;Short Identifier Name
salary,basic_examples/extra_stuff.py,19,9,15,Number of Words;Short Identifier Name
salary,basic_examples/extra_stuff.py,19,18,24,Number of Words;Short Identifier Name
employees,basic_examples/extra_stuff.py,22,0,9,Number of Words
employees,basic_examples/extra_stuff.py,23,0,9,Number of Words
append,basic_examples/extra_stuff.py,23,10,16,Number of Words;Short Identifier Name
Employee,basic_examples/extra_stuff.py,23,17,25,Capitalisation Anomaly
employees,basic_examples/extra_stuff.py,24,0,9,Number of Words
append,basic_examples/extra_stuff.py,24,10,16,Number of Words;Short Identifier Name
Employee,basic_examples/extra_stuff.py,24,17,25,Capitalisation Anomaly
employees,basic_examples/extra_stuff.py,25,0,9,Number of Words
append,basic_examples/extra_stuff.py,25,10,16,Number of Words;Short Identifier Name
Employee,basic_examples/extra_stuff.py,25,17,25,Capitalisation Anomaly
sal_more_than_40k,basic_examples/extra_stuff.py,29,0,17,Number of Words
e,basic_examples/extra_stuff.py,29,21,22,Number of Words
e,basic_examples/extra_stuff.py,29,27,28,Number of Words
employees,basic_examples/extra_stuff.py,29,32,41,Number of Words
e,basic_examples/extra_stuff.py,29,45,46,Number of Words
salary,basic_examples/extra_stuff.py,29,47,53,Number of Words;Short Identifier Name
str,basic_examples/extra_stuff.py,30,19,22,Number of Words;Short Identifier Name
len,basic_examples/extra_stuff.py,30,23,26,Number of Words;Short Identifier Name
sal_more_than_40k,basic_examples/extra_stuff.py,30,27,44,Number of Words
emp,basic_examples/extra_stuff.py,31,4,7,Number of Words;Short Identifier Name
sal_more_than_40k,basic_examples/extra_stuff.py,31,11,28,Number of Words
emp,basic_examples/extra_stuff.py,32,8,11,Number of Words;Short Identifier Name
sal_more_than_30k,basic_examples/extra_stuff.py,35,0,17,Number of Words
filter,basic_examples/extra_stuff.py,35,20,26,Number of Words;Short Identifier Name
e,basic_examples/extra_stuff.py,35,34,35,Number of Words
e,basic_examples/extra_stuff.py,35,38,39,Number of Words
salary,basic_examples/extra_stuff.py,35,40,46,Number of Words;Short Identifier Name
employees,basic_examples/extra_stuff.py,35,56,65,Number of Words
str,basic_examples/extra_stuff.py,36,19,22,Number of Words;Short Identifier Name
len,basic_examples/extra_stuff.py,36,23,26,Number of Words;Short Identifier Name
sal_more_than_30k,basic_examples/extra_stuff.py,36,27,44,Number of Words
emp,basic_examples/extra_stuff.py,37,4,7,Number of Words;Short Identifier Name
sal_more_than_30k,basic_examples/extra_stuff.py,37,11,28,Number of Words
emp,basic_examples/extra_stuff.py,38,8,11,Number of Words;Short Identifier Name
